Subject,Label,Generated body
URGENT: Your bank account has been compromised!,Spam,[{'generated_text': 'URGENT: Your bank account has been compromised!\nClick here for help.\nPRIVACY: Please contact the sender.\n_____\nU.S. EMBRACES PRIVACY STANDARDS IMPOSED: To comply with'}]
FREE Viagra for men!,Spam,"[{'generated_text': 'FREE Viagra for men!\nOur Premium Viagra is currently on sale for CURRENCYNUMBER.NUMBER, and will be available through Our Website!\nClick here and order your Viagra NOW!\nIf you would prefer no'}]"
You've won the lottery!,Spam,"[{'generated_text': 'You\'ve won the lottery!\nThe winner will receive a pair of tickets to the Broadway show ""Side Show"" next week and the grand entrance court.\nAll you have to do is click on the link and you\'ll be sent to the stage'}]"
Your credit card has been declined.,Spam,"[{'generated_text': 'Your credit card has been declined. Please submit a new one. If issued\nthis month, your new credit card will be charged on the NUMBERth of each month.\nAmericanExpress - We understand that sometimes major events take place and we understand'}]"
Your computer is infected with a virus!,Spam,[{'generated_text': 'Your computer is infected with a virus!\n** This is an auto generated message. Please do not reply to this email. **\n** Please note the attachment type:\nURL\n** Please do not reply to this email. **\n** This'}]
Lose weight fast and easy!,Spam,"[{'generated_text': ""Lose weight fast and easy! The weight-loss loook is designed to help you lose even more pounds. When you loose weight it feels like you're out partying after drinking with a girl right in the front of your bed.\nClick here""}]"
Make money online quickly and easily!,Spam,"[{'generated_text': 'Make money online quickly and easily!\nOnline Self-Promoting Pledge:\nAs a Facebook seller you are entitled to a NUMBER% Amazon Local discount. However, this offer is not valid for Amazon Local customers.\nClick the link to apply'}]"
Get rich quick!,Spam,"[{'generated_text': 'Get rich quick!\nView this email in your browser (URL)\nURL\nFor Your Information: To help arbitrate disputes and preserve trust and safety, we retain all messages buyers and sellers send through Amazon.com for two years. This includes'}]"
Invest in our new cryptocurrency and earn big returns!,Spam,[{'generated_text': 'Invest in our new cryptocurrency and earn big returns!\nThis message has been sent to you at EMAIL\nUnsubscribee\nfrom this list |\nUpdate your email preferences\nThis email was sent by: BBC Worldwide Americas\nNUMBER'}]
Click here to claim your free gift!,Spam,"[{'generated_text': 'Click here to claim your free gift!\nFree Gift for You! Offer valid now until Thursday, December NUMBERrd, NUMBER.\nHurry - Offer ends Friday, January NUMBERth\n(no vendors sell shoes online)\nHol'}]"
Enter our giveaway to win a new iPhone!,Spam,"[{'generated_text': 'Enter our giveaway to win a new iPhone!\nURL\nURL\nURL\nURL\nURL\nWeekend Deals\nShop fresh produce, Amazon, and more at farmers markets throughout the U.S. and Canada. Be sure to visit our Gift'}]"
You've been selected for a special offer!,Spam,"[{'generated_text': ""You've been selected for a special offer!\nEMAIL\nGet NUMBER Free Gifts!\nWhen you order NUMBER or more items from this Spring Special, you'll receive NUMBER free items delivered right to your door from the closest Kroger""}]"
Don't miss out on our limited-time sale!,Spam,"[{'generated_text': ""Don't miss out on our limited-time sale!\nCLICK HERE\nfor the chance to get NUMBER% off your next order and receive a complimentary copy of our Bestseller, Whole Life in One Minute: Life is Hard, Love Can""}]"
Act now and save 50% on all products!,Spam,"[{'generated_text': ""Act now and save 50% on all products!\nShop Now\nEconstrum\nEconstrum is a leading engineering consultancy with over NUMBER years' experience in all aspects of the construction, manufacture and sale of a wide range of""}]"
Order now and get free shipping!,Spam,"[{'generated_text': ""Order now and get free shipping!\nURL\nURL Jane PERSON,\nHere's what's trending on Twitter this week.\nURL\nURL LINDSEY GARFIELD @LAURIEJOURNAL\nWhy POLITICAL PARTY""}]"
Subscribe to our newsletter and get 10% off your first purchase!,Spam,"[{'generated_text': ""Subscribe to our newsletter and get 10% off your first purchase!Don't forget to Add EMAIL your address bookso we'll be sure to land in your inbox!\nURL\nSUBSCRIBE TO OUR AWARD WINNING NEWS""}]"
Click here to unsubscribe from our newsletter.,Ham,"[{'generated_text': 'Click here to unsubscribe from our newsletter.\nCopyright©️NUMBER Variety Media,measures\nAttachments:\n(NUMBER Bytes)\n(NUMBER Bytes)\n(NUMBER Bytes)\n(NUMBER Bytes'}]"
Your bank account is overdrawn.,Spam,"[{'generated_text': 'Your bank account is overdrawn.\nPlease send any additional funds to your checking account in an effort to avoid a NUMBER month debt bomb.\nAfter a month of waiting, the balance in your checking account has not been restored.\nPlease send'}]"
Your account is about to be suspended.,Spam,"[{'generated_text': 'Your account is about to be suspended. A lot of good points being raised on the topic.\nCc: Askanas, Paula; Tangey, Ilona; Brown, Jarva\nDear Stephen,\nI just received a call from'}]"
Verify your account.,Spam,"[{'generated_text': 'Verify your account.\nInformation for administrators: You may view the Ariba System Security logon (URL) and the Ariba System Security cookie (URL) from your web browser.\nIf you have questions, please contact the Global'}]"
Update your account information.,Spam,"[{'generated_text': 'Update your account information. Once you log in, select the ""Change Your Password"" link and follow the instructions. Note that you\'ll also be required to provide answers to three hint questions (if you have not already done so), which will give you'}]"
Important security alert.,Spam,"[{'generated_text': 'Important security alert. We advise you to log off your computer and keep it that way. As always, we advise you to carry out your own checks and precautions when using the internet and to only connect to the lawful content that you are authorized to see'}]"
Limited-time offer: Get 50% off all products!,Spam,[{'generated_text': 'Limited-time offer: Get 50% off all products!\nIs this email looking a bit wibbly-wobbly? Go here to view the online version\nLogo Name\nURL URL\nURL\nSpring Sale: Get up to'}]
Free shipping on all orders over $50!,Spam,"[{'generated_text': ""Free shipping on all orders over $50!\nNo limit on quantity paid with promo code SHIPNUMBER.\nNUMBER x Herrington Signature Series The Premier, Women's Travel and Casual Women's Travel Button Down\nSHIP T Ext.""}]"
New product release: The all-new iPhone 14!,Spam,"[{'generated_text': 'New product release: The all-new iPhone 14!\n>\n> ""The All-New iPhone™️™️ NUMBER delivers the most powerful graphics, the dynamic features of the iPhone NUMBER, new applications and refined design that make you'}]"
You're pre-approved for a credit card!,Spam,"[{'generated_text': ""You're pre-approved for a credit card!\nURL\nYour Card is Ready\nURL\nURL\nEnable your credit card to use Amex points\nURL\nAmex has recently launched a new kind of cash-in: standard points are""}]"
Apply now for a loan with low interest rates!,Spam,"[{'generated_text': 'Apply now for a loan with low interest rates!\nApply Now\nThe NUMBER- or NUMBER-Year Fixed-Loan NUMBER™️ is ready to go for just CURRENCYNUMBER,NUMBER per month. The'}]"
Get a free quote on auto insurance!,Spam,"[{'generated_text': 'Get a free quote on auto insurance!\nView this email in your browser\nURL\nFree quote, quote quote payment, quote payment\non all NUMBER auto insurance products over NUMBER years:\nAll Current Leasehold Insurance. Total savings'}]"
Your social security number has been compromised.,Spam,"[{'generated_text': ""Your social security number has been compromised. Please contact your local help desk.\nYour iCloud password has been lost, maybe you've forgotten it or you've been hacked.\nYour iCloud password was just used to sign in to FaceTimeandiMessage on""}]"
Your tax refund is ready!,Spam,"[{'generated_text': ""Your tax refund is ready!\nURL\nPaperless Post Mailing\nWe are pleased to deliver your message to you as a scanned copy of the original signatures. This way you won't have to go to the trouble of mailing it again.\n""}]"
You've been selected for a jury duty.,Spam,"[{'generated_text': ""You've been selected for a jury duty.\nHERE'S WHY:\nThe judge is currently in Iran, but she told the court that she's expecting the judges next week and expects one on June NUMBER.\nThe two-week""}]"
You've been sued.,Spam,"[{'generated_text': ""You've been sued. You've been abused. Now you're getting the sympathy of the world. You've been swindled. And then -- now you have a billionaire who thinks he can buy anything he wants because he's richer than everybody.""}]"
You've been subpoenaed.,Spam,"[{'generated_text': ""You've been subpoenaed. I have no idea why (inaudible) what they would show. And then you're going to go to [inaudible, they're going to find out how your income has been shifted,] and they""}]"
Your car has been repossessed.,Spam,[{'generated_text': 'Your car has been repossessed. Please contact the seller for a full refund. A full refund for every item that was not charged in the deluxe car garage can be sent directly to: EMAIL\nThis email was sent by: The'}]
Your house has been foreclosed on.,Spam,"[{'generated_text': ""Your house has been foreclosed on. It's on the corner\nNUMBER) If you're the kind of person who takes advantage of special offers when best\navailable, you can get all of the big discounts during your next stay at our hotel""}]"
You've been fired from your job.,Spam,"[{'generated_text': ""You've been fired from your job.\nEmployees who don't show up for work...\n...have to start over.\nIt doesn't have to be this easy.\nGet fired\nDon't let this happen to you.\nWhen""}]"
Your spouse is cheating on you.,Spam,"[{'generated_text': 'Your spouse is cheating on you. Xxxxx\nSent from my iPhone\n> On Sep NUMBER, NUMBER, at NUMBER:NUMBER PM, ""PERSON, Jane"" wrote:\n>\n> Did you ever actually send this'}]"
Your child is missing.,Spam,"[{'generated_text': ""Your child is missing. Someone called the police. They found your phone and charger, they're calling you now PHONE.\nIf you feel like calling the police, you can call them and they'll give you more details. There's a line""}]"
"Your bank account has been credited with $10,000!",Spam,"[{'generated_text': 'Your bank account has been credited with $10,000!\nYour order was entered into the BNGB Cashier MasterCard: URL\nYou received this email because your name and email address from BNGB were used for receiving order confirmations'}]"
You've been selected to receive a government grant!,Spam,"[{'generated_text': ""You've been selected to receive a government grant!\nThe President and the Vice President will receive a CURRENCYNUMBER,NUMBER grant from the National Institutes of Health (NIH) for a NUMBER-day, on-site""}]"
You're eligible for a free refund from the IRS!,Spam,"[{'generated_text': ""You're eligible for a free refund from the IRS!\nCan't See This Message?Click here.\nBilled\nEMAIL\nJanePERSON\nNUMBER wilshire blvd\nNUMBERth floor\nLos Angeles, CA NUMBER""}]"
Your credit score has improved by 50 points!,Spam,"[{'generated_text': 'Your credit score has improved by 50 points!\nTo learn how to protect yourself from the fraudulent New York Times cheque, click here\nNUMBER million New York Times Cheque from the New York Times\nCURRENCYNUMBER,NUM'}]"
You've been approved for a new credit card with 0% APR!,Spam,"[{'generated_text': ""You've been approved for a new credit card with 0% APR! Learn More.\nWe're sorry but credit card charges on your American Express Card account will not be automatically charged once you've completed the transaction. Make sure to log in to your""}]"
You've been invited to join an exclusive club!,Spam,"[{'generated_text': ""You've been invited to join an exclusive club!\nRegister now\nWe've got your message, your data and the connections you need. You're set to join the exclusive Club for Growth where smart, collaborative leadership happens when top business leaders and entrepreneurs""}]"
You've won a trip to the Caribbean!,Spam,"[{'generated_text': ""You've won a trip to the Caribbean!\nA new friend has joined your team\nEarn up to NUMBER HawaiianMiles for each dollar you spend\nIt's that easy! Book your vacation now for what could be your most rewarding month of""}]"
You're the lucky winner of a new car!,Spam,"[{'generated_text': ""You're the lucky winner of a new car!\nView this message in your browser\nGift Card Confirmation\nHello Jane PERSON,\nThank you for shopping with us. You can find all of your new and previous Amazon Instant Video purchases -""}]"
You've been selected to participate in a clinical trial!,Spam,"[{'generated_text': ""You've been selected to participate in a clinical trial!\nCongratulations!\nYou or someone you know has been selected to participate on the NIH-supported Immunology Empowerment Forum and Clinical Trial Advisory Board.\nThe trial itself will start on September""}]"
Your investment has tripled in value!,Spam,[{'generated_text': 'Your investment has tripled in value!\nURL\nURL\nURL\nClick below to view online.\nURL\nURL\nURL\nURL\nURL\nNUMBER%\nURL\nSavings NUMBER%\nEnjoy the highest rates\nin the'}]
You're the sole heir to a vast fortune!,Spam,"[{'generated_text': ""You're the sole heir to a vast fortune!\nYou've spent over CURRENCYNUMBER million of your fortune gaining entry into the Super Bowl, and your name will likely ring like a halyard when it goes on broadcast.\n""}]"
You've been invited to a job interview at Google!,Spam,"[{'generated_text': ""You've been invited to a job interview at Google!\nDate Filled: May NUMBER, NUMBER\nLocation Jobs:\nGoogle - Search, Bing, Play, Image Search\nWorking on the 'Google Alerts' application. You may""}]"
Your child has been accepted to Harvard!,Spam,"[{'generated_text': 'Your child has been accepted to Harvard!\nWelcome your new Harvard-Westlake Alumni!\nThe school is still accepting Applications for NUMBERth-NUMBERth grade students, and you will be automatically entered into the Waiting List for eligible students'}]"
You've been invited to speak at the UN!,Spam,"[{'generated_text': ""You've been invited to speak at the UN!\nThe UN Office for International Education's Executive Director, Ambassador Samantha Power, has been invited to join a Special Briefing by Ambassador Richard Holbrooke, Secretary General of the United Nations University in a""}]"
You're the next president of the United States!,Spam,"[{'generated_text': ""You're the next president of the United States! (Applause.)\nAUDIENCE MEMBER: Thank you! (Applause.)\nEND NUMBER:NUMBER P.M. EDT\nFor Immediate Release May NUMBER,""}]"
Click here to claim your prize!,Spam,"[{'generated_text': ""Click here to claim your prize!\nURL\nWin once-in-a-lifetime experiences and see how we offer support to\npeople across the globe.Take a look at all of the great deals to win, and if you're just""}]"
Act now to avoid missing out!,Spam,[{'generated_text': 'Act now to avoid missing out!\nView this e-mail on your mobile device|View this e-mail as a web page\nCEB Legal Leadership Council\nCEB Legal Views\nRate the NUMBER Research Shortlist\nHelp shape the'}]
Don't miss this limited-time offer!,Spam,"[{'generated_text': ""Don't miss this limited-time offer!\nLimited-Time Offer:\nEnter Promo Code SMNUMBERDAY (normally CURRENCYNUMBER.NUMBER) with special mention to receive\nan exclusive window to purchase THE W""}]"
This is your last chance!,Spam,"[{'generated_text': 'This is your last chance!Join us for FREE Admission to the Festival of Media ExcellenceSeptember NUMBER-Cure California at Montage Beverly HillsOur free Pass to Movie Theaters: The Past and PresentFriday, September NUMBERstCure California'}]"
Don't wait any longer!,Spam,"[{'generated_text': ""Don't wait any longer!\nYour order #PHONE-PHONE placed with BigSigns.com and shipped from BigSigns.com | NUMBER E. Huntington Dr. | Sherman Oaks | CA | NUMBER | U S A""}]"
Do it now!,Spam,"[{'generated_text': 'Do it now!\nNUMBER GOP HIT on HRC\nEMAIL, EMAIL, EMAIL, EMAIL, EMAIL, EMAIL\nmore\nEMAIL, EMAIL\nCC:\nEMAIL,'}]"
